wave,bucket,subject,filename,category,card_variants_covered
1,Mythic,Assassin Bug,assassin-bug.webp,Animal Kingdom,8
1,Mythic,Betta Fish,betta-fish.webp,Animal Kingdom,8
1,Mythic,Giraffe,giraffe.webp,Animal Kingdom,8
1,Mythic,Grizzly Bear,grizzly-bear.webp,Animal Kingdom,8
1,Mythic,Hippopotamus,hippopotamus.webp,Animal Kingdom,8
1,Mythic,Leopard Gecko,leopard-gecko.webp,Animal Kingdom,8
1,Mythic,Llama,llama.webp,Animal Kingdom,8
1,Mythic,Moose,moose.webp,Animal Kingdom,8
1,Mythic,Snow Leopard,snow-leopard.webp,Animal Kingdom,8
1,Mythic,White Rhinoceros,white-rhinoceros.webp,Animal Kingdom,8
1,Mythic,Andromeda Galaxy,andromeda-galaxy.webp,Cosmos & Terra,8
1,Mythic,Sapphire,sapphire.webp,Cosmos & Terra,8
1,Mythic,Stonehenge,stonehenge.webp,Cosmos & Terra,8
1,Mythic,Tornado,tornado.webp,Cosmos & Terra,8
1,Mythic,Vacuum Tube Radio,vacuum-tube-radio.webp,Electronics,1
1,Mythic,Lady Luck's Own Coin,lady-luck-s-own-coin.webp,Fortune & Folly,1
1,Mythic,Midnight Jackpot Bell,midnight-jackpot-bell.webp,Fortune & Folly,1
1,Mythic,Seventh Seven,seventh-seven.webp,Fortune & Folly,1
1,Mythic,The Bailed-Out Rocket,the-bailed-out-rocket.webp,Fortune & Folly,1
1,Mythic,The Cooler's Deck,the-cooler-s-deck.webp,Fortune & Folly,1
1,Mythic,The Dealer's Last Card,the-dealer-s-last-card.webp,Fortune & Folly,1
1,Mythic,The Unlosable Ticket,the-unlosable-ticket.webp,Fortune & Folly,1
1,Mythic,Baldr,baldr.webp,Legends & Myth,8
1,Mythic,Dolores Huerta,dolores-huerta.webp,Legends & Myth,8
1,Mythic,Hydra,hydra.webp,Legends & Myth,8
1,Mythic,Jade Emperor,jade-emperor.webp,Legends & Myth,8
1,Mythic,Nikola Tesla,nikola-tesla.webp,Legends & Myth,8
1,Mythic,Pythagoras,pythagoras.webp,Legends & Myth,8
1,Mythic,Susan B. Anthony,susan-b-anthony.webp,Legends & Myth,8
1,Mythic,The Morrigan,the-morrigan.webp,Legends & Myth,8
1,Mythic,Yeti,yeti.webp,Legends & Myth,8
1,Mythic,3D Printer,3d-printer.webp,Machines in Motion,8
1,Mythic,Jukebox,jukebox.webp,Machines in Motion,8
1,Mythic,Speedboat,speedboat.webp,Machines in Motion,8
1,Mythic,Zamboni,zamboni.webp,Machines in Motion,8
1,Mythic,Genuine Meteorite Fragment,genuine-meteorite-fragment.webp,Misc,1
1,Mythic,Kraken's Tentacle,kraken-s-tentacle.webp,Tide & Tackle,5
1,Mythic,The First Cast,the-first-cast.webp,Tide & Tackle,5
2,Legendary,African Elephant,african-elephant.webp,Animal Kingdom,7
2,Legendary,Housefly,housefly.webp,Animal Kingdom,7
2,Legendary,Manta Ray,manta-ray.webp,Animal Kingdom,7
2,Legendary,Mosquito,mosquito.webp,Animal Kingdom,7
2,Legendary,Wallaby,wallaby.webp,Animal Kingdom,7
2,Legendary,Wandering Albatross,wandering-albatross.webp,Animal Kingdom,7
2,Legendary,Vintage Pocket Watch,vintage-pocket-watch.webp,Bedroom,1
2,Legendary,Amber,amber.webp,Cosmos & Terra,7
2,Legendary,Enceladus,enceladus.webp,Cosmos & Terra,7
2,Legendary,Tourmaline,tourmaline.webp,Cosmos & Terra,7
2,Legendary,First-Gen iPod,first-gen-ipod.webp,Electronics,1
2,Legendary,Loaded Dice,loaded-dice.webp,Fortune & Folly,2
2,Legendary,Marked Card,marked-card.webp,Fortune & Folly,2
2,Legendary,Roulette Ball,roulette-ball.webp,Fortune & Folly,2
2,Legendary,Achilles,achilles.webp,Legends & Myth,7
2,Legendary,Ares,ares.webp,Legends & Myth,7
2,Legendary,Buzz Aldrin,buzz-aldrin.webp,Legends & Myth,7
2,Legendary,Carl Linnaeus,carl-linnaeus.webp,Legends & Myth,7
2,Legendary,Dragon,dragon.webp,Legends & Myth,7
